repository_language,type,active_repos_by_url,events,year,quarter
Ruby,ForkEvent,24540,73049,2014,3
Rust,PushEvent,1787,24706,2014,2
Shell,WatchEvent,15192,77166,2014,4
Haskell,WatchEvent,2689,11350,2014,4
Arduino,PushEvent,5307,25115,2014,4
C++,WatchEvent,22093,127370,2014,4
Scala,PushEvent,10853,116911,2014,4
VimL,WatchEvent,3760,30076,2014,4
Assembly,ForkEvent,359,940,2014,4
C,CreateEvent,140,141,2014,4
SQF,PushEvent,598,13358,2014,4
VHDL,WatchEvent,138,255,2014,4
Verilog,ForkEvent,168,293,2014,4
XProc,WatchEvent,1,5,2014,4
JavaScript,WatchEvent,2383,3763,2015,1
VimL,WatchEvent,128,178,2015,1
Julia,ForkEvent,6,10,2015,1
Visual Basic,WatchEvent,3,3,2015,1
Haxe,WatchEvent,5,5,2015,1
Bison,WatchEvent,2,3,2015,1
Slash,WatchEvent,11,36,2014,3
Nemerle,WatchEvent,25,88,2014,3
DM,PushEvent,346,7891,2014,3
Io,ForkEvent,50,91,2014,3
Cuda,PushEvent,404,3092,2014,3
Elixir,ForkEvent,240,682,2014,3
ActionScript,IssuesEvent,192,1114,2014,3
PureScript,WatchEvent,83,321,2014,3
J,PushEvent,15,130,2014,3
DM,IssuesEvent,25,1428,2014,3
Racket,IssuesEvent,69,190,2014,4
Cuda,WatchEvent,63,528,2014,3
Hack,PushEvent,57,569,2014,4
Pike,PushEvent,13,436,2014,4
Component Pascal,PushEvent,37,521,2014,4
Ada,PushEvent,100,963,2014,3
Cuda,ForkEvent,52,305,2014,3
AspectJ,PushEvent,79,415,2014,4
LSL,ForkEvent,5,28,2014,4
Mathematica,ForkEvent,51,98,2014,4
Grammatical Framework,WatchEvent,9,16,2014,3
Chapel,WatchEvent,5,12,2014,4
ABAP,WatchEvent,14,30,2014,4
Forth,PushEvent,12,162,2014,3
Parrot,ForkEvent,4,9,2014,4
AGS Script,ForkEvent,26,49,2014,3
PAWN,ForkEvent,16,32,2014,3
Prolog,PushEvent,203,1468,2014,2
Vala,PushEvent,256,3806,2014,2
Rust,ForkEvent,303,1239,2014,2
Emacs Lisp,ForkEvent,1003,2460,2014,2
Elixir,IssuesEvent,84,480,2014,2
Elm,PushEvent,116,957,2014,2
Vala,WatchEvent,98,678,2014,2
Awk,PushEvent,102,556,2014,2
Grammatical Framework,WatchEvent,5,13,2014,4
Kotlin,ForkEvent,17,47,2014,2
Arduino,ForkEvent,6,6,2015,1
Mercury,PushEvent,2,8,2015,1
ooc,WatchEvent,11,18,2014,3
LSL,IssuesEvent,1,8,2014,3
Ceylon,ForkEvent,7,14,2014,2
SuperCollider,IssuesEvent,4,12,2014,3
Lasso,WatchEvent,19,39,2014,2
Dogescript,WatchEvent,1,1,2014,4
Apex,CreateEvent,3,3,2014,3
UnrealScript,ForkEvent,9,10,2014,2
Harbour,ForkEvent,3,3,2014,3
Forth,ForkEvent,2,2,2014,3
PHP,PushEvent,114713,1110235,2014,1
Ruby,ForkEvent,25961,80145,2014,1
Go,PushEvent,12621,105504,2014,1
Ruby,CreateEvent,310,343,2014,1
Squirrel,PushEvent,73,405,2014,1
IDL,IssuesEvent,26,307,2014,1
Oxygene,WatchEvent,30,63,2014,1
Brightscript,IssuesEvent,7,107,2014,1
Delphi,WatchEvent,70,97,2014,1
M,IssuesEvent,7,21,2014,1
HaXe,ForkEvent,45,62,2014,2
Ceylon,ForkEvent,23,32,2014,1
ABAP,PushEvent,7,25,2014,1
Idris,ForkEvent,17,31,2014,2
MoonScript,IssuesEvent,2,21,2014,2
Propeller Spin,IssuesEvent,4,25,2014,2
Ada,WatchEvent,41,57,2014,2
Haskell,PushEvent,5091,45485,2013,3
C,PushEvent,31734,374022,2012,4
Perl,WatchEvent,2603,21075,2012,3
Erlang,ForkEvent,802,3669,2012,3
Racket,PushEvent,747,6890,2013,4
CSS,WatchEvent,10480,98358,2013,4
C,IssuesEvent,572,50085,2012,1
Java,WatchEvent,30562,145583,2013,4
Assembly,PushEvent,859,5836,2013,3
ActionScript,PushEvent,2120,16627,2012,4
Groovy,PushEvent,2340,20045,2013,1
Logos,PushEvent,1508,19673,2013,4
Groovy,PushEvent,1869,39756,2012,2
Shell,IssuesEvent,1446,7908,2013,1
Scala,IssuesEvent,732,4245,2013,3
Objective-C,CreateEvent,38,113,2012,2
F#,PushEvent,650,6723,2013,4
Factor,PushEvent,29,1226,2012,2
Puppet,WatchEvent,939,2457,2013,3
Julia,IssuesEvent,6,599,2012,3
Rust,PushEvent,196,7881,2012,3
F#,PushEvent,228,4302,2012,2
