Instituição,Programa,Nível,Sigla,Tem doutorado,Docentes colaboradores,Docentes permanentes,Docentes visitantes,Resumos em conf,Resumos expandidos em conf,Artigos em conf,Dissertacoes,Teses,periodicos_A1,periodicos_A2,periodicos_B1,periodicos_B2,periodicos_B3,periodicos_B4,periodicos_B5,periodicos_C ,periodicos_NA,per_comaluno_A1,per_comaluno_A2,per_comaluno_B1,per_comaluno_B2,per_comaluno_B3,per_comaluno_B4,per_comaluno_B5,per_comaluno_C ,per_comaluno_NA
UNIVERSIDADE FEDERAL DO AMAZONAS,INFORMÁTICA (12001015012P2),5,UFAM,Sim,0.25,24.75,0.0,20,25,390,108,14,15,19,19,1,3,0,10,9,7,4,5,4,0,2,0,5,6,6
UNIVERSIDADE FEDERAL DO PARÁ,CIÊNCIA DA COMPUTAÇÃO (15001016047P9),4,UFPA,Sim,5.5,14.0,0.0,23,24,284,77,NA,19,21,38,12,16,4,16,34,15,1,5,2,1,2,0,0,5,14
UNIVERSIDADE FEDERAL DO MARANHÃO,CIÊNCIA DA COMPUTAÇÃO (20001010022P0),3,UFMA,Não,3.0,10.0,0.0,15,7,115,50,NA,5,11,7,2,2,0,8,12,8,0,5,5,1,0,0,4,3,2
UNIVERSIDADE ESTADUAL DO MARANHÃO,ENGENHARIA DE COMPUTAÇÃO E SISTEMAS (20002017004P9),3,UEMA,Não,6.25,14.0,0.0,5,10,73,25,NA,1,1,3,6,2,3,4,5,11,0,0,2,0,1,0,0,1,2
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,CIÊNCIA DA COMPUTAÇÃO (21001014031P2),3,FUFPI,Não,1.75,9.5,0.0,4,1,150,31,NA,7,4,6,0,3,3,12,2,12,1,2,2,0,0,2,8,2,9
UNIVERSIDADE FEDERAL DO CEARÁ,CIÊNCIAS DA COMPUTAÇÃO (22001018031P5),5,UFC,Sim,2.0,20.75,0.75,10,68,269,75,24,21,32,26,0,16,0,4,3,6,7,15,14,0,7,0,3,3,3
UNIVERSIDADE DE FORTALEZA,INFORMÁTICA APLICADA (22002014002P1),4,UNIFOR,Sim,1.0,16.0,0.5,6,9,179,60,5,21,13,16,11,15,1,16,11,19,5,3,6,1,9,1,6,7,6
UNIVERSIDADE ESTADUAL DO CEARÁ,COMPUTAÇÃO APLICADA (22003010016P9),3,UECE/Prof,Não,6.25,15.75,1.0,136,13,0,129,NA,0,0,2,0,0,3,2,9,31,0,0,0,0,0,0,0,1,4
UNIVERSIDADE ESTADUAL DO CEARÁ,CIÊNCIA DA COMPUTAÇÃO (22003010018P1),3,UECE,Não,2.75,8.5,0.5,0,4,120,45,NA,3,9,6,0,4,1,6,5,7,1,3,2,0,2,1,4,2,5
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",CIÊNCIA DA COMPUTAÇÃO (22008012004P2),3,IFCE,Não,0.75,9.0,0.0,24,6,92,3,NA,8,2,4,2,6,6,2,10,14,0,0,0,0,0,3,0,4,1
