TITLE,USER RATING,CRITCS RATING,YEAR,RT URL
Rad,89,0,1986,http://www.rottentomatoes.com/m/rad/
Fall,84,0,1997,http://www.rottentomatoes.com/m/1081000-fall/
Only the Strong,77,0,1993,http://www.rottentomatoes.com/m/only_the_strong/
Scary Movie 5,79,4,2013,http://www.rottentomatoes.com/m/scary_movie_5/
Modigliani,79,4,2004,http://www.rottentomatoes.com/m/modigliani/
State Property,74,0,2002,http://www.rottentomatoes.com/m/state_property/
Out Cold,82,8,2001,http://www.rottentomatoes.com/m/out_cold/
Belly,86,13,1998,http://www.rottentomatoes.com/m/belly/
Diary of a Mad Black Woman,88,15,2005,http://www.rottentomatoes.com/m/diary_of_a_mad_black_woman/
The Boondock Saints,93,20,2000,http://www.rottentomatoes.com/m/boondock_saints/
Rainbow Brite and the Star Stealer,71,0,1985,http://www.rottentomatoes.com/m/rainbow_brite_and_the_star_stealer/
Last Ounce of Courage,70,0,2012,http://www.rottentomatoes.com/m/last_ounce_of_courage/
Facing the Giants,83,13,2006,http://www.rottentomatoes.com/m/facing_the_giants/
Rise of the Footsoldier,84,14,2007,http://www.rottentomatoes.com/m/rise-of-the-footsoldier/
Shottas,89,19,2002,http://www.rottentomatoes.com/m/shottas/
Kevin & Perry Go Large,69,0,2000,http://www.rottentomatoes.com/m/kevin_and_perry_go_large/
Grind,77,8,2003,http://www.rottentomatoes.com/m/1124859-grind/
Pure Country,88,20,2002,http://www.rottentomatoes.com/m/pure_country/
Grandmas Boy,85,18,2006,http://www.rottentomatoes.com/m/grandmas_boy/
Once Upon a Forest,66,0,1993,http://www.rottentomatoes.com/m/once_upon_a_forest/
Step Up,85,19,2006,http://www.rottentomatoes.com/m/step_up/
The Covenant,68,3,2006,http://www.rottentomatoes.com/m/covenant/
Sunset Park,78,13,1996,http://www.rottentomatoes.com/m/sunset_park/
The Football Factory,85,20,2004,http://www.rottentomatoes.com/m/1153907-football_factory/
Dream a Little Dream,64,0,1989,http://www.rottentomatoes.com/m/dream_a_little_dream/
Atlas Shrugged: Part II,69,5,2012,http://www.rottentomatoes.com/m/atlas_shrugged_part_ii/
Because I Said So,68,5,2007,http://www.rottentomatoes.com/m/because_i_said_so/
Big Mommas House 2,69,6,2006,http://www.rottentomatoes.com/m/1154157-big_mommas_house_2/
The Perfect Man,69,6,2005,http://www.rottentomatoes.com/m/perfect_man/
The Forbidden Dance Is Lambada,76,13,1990,http://www.rottentomatoes.com/m/forbidden_dance_is_lambada/
