"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim","tempo_sim","count_pop","tempo_pop"
"00blixt",1159.49603209,37,19,5.53636206975,5.66040557939,0.68521896372,38,38,116,119,0.155514370730486,0.20839559644175,0.269231042393303,0.0830367983675158
"0ctane",3439.83725706,155,57,4.72616738294,4.73093542897,0.88195293549,32,32,130,141,0.0748233978271244,-0.0203258750152324,0.1314465096963,-0.142281125106627
"0sebastian0",1611.4463656,68,25,5.80408634956,5.89607294796,0.616710363591,24,24,10,13,-0.123188405797101,-0.0434782608695652,-0.166666666666667,-0.115942028985507
"0xkirill",697.097414578,37,13,4.99796260096,5.21429003443,0.868581066772,36,36,46,71,0.084193831165046,-0.0016065423090396,0.09372520827807,0.130129927032208
"111ArcherAvenue",1660.15626504,72,31,5.80035660144,5.86512139141,0.544858020701,28,28,128,133,0.0373345280573471,0.163103936416576,0.0952380952380952,0.0901859936612243
"1900lazio",1907.90256034,93,37,4.40939628712,4.36350558786,0.828668142403,25,25,95,167,0.153333333333333,-0.0201346816564207,0.0866666666666667,-0.0536924844171219
"1Ferdi",2893.57555843,163,64,5.166949505,5.21173311621,0.779718243174,30,30,228,256,-0.00689655172413793,0.0692045665447833,0.0206896551724138,0.212227337404002
"1gOR",3399.63272456,150,59,4.56647139753,4.60626124701,0.876742503837,28,28,53,63,0.287238106045408,0.178913020591271,-0.0851075869764172,0.0988027128638364
"1uLyMaN",1443.30512388,88,27,5.12114981633,5.18314847477,0.809013439737,14,14,46,52,-0.164835164835165,-0.0333353911370414,-0.0769230769230769,-0.0333353911370414
"200iso",3229.47673288,132,58,5.35993189143,5.50168353977,0.812558819307,22,22,118,125,0.134199134199134,0.183818442028888,-0.0303030303030303,-0.035013036576931
"20lbcat",3260.37956588,130,62,5.40143094696,5.63244786563,0.91431365784,27,27,90,102,0.0400575935374693,-0.111653686906788,0.211732994412338,0.329084550883166
"23EmCia",662.190194283,24,12,5.89290704933,6.19171620296,0.707543746979,21,21,34,45,0.0525061161254233,0.386514023768299,-0.186158048081046,0.0193257011884149
"280890",1876.01929644,78,36,5.94077033892,6.09323165208,0.540753091001,23,23,100,111,0.204,0.326049536719893,0.214715548571637,0.359683794466403
"286",4254.53193505,213,73,5.03717931506,5.28153402826,0.988508436703,37,37,109,114,-0.0706236112173448,-0.10222516749113,-0.0375657506475238,0.0564527044354
"2la_sCake",1296.47403537,47,24,5.79241154118,5.9793673134,0.565739167359,25,25,103,112,0.0535117056856187,0.154363285233322,-0.156928432374132,-0.0167506302543202
"2ticketstoparad",1507.27553721,61,25,5.7344907003,6.05315469543,0.825961897145,30,30,96,113,-0.133795495319914,-0.328843673339922,0.129181857550262,0.213628371731774
"38315",874.481769817,32,18,5.03960182625,5.12848048986,0.809128624731,15,15,76,79,0.245204119306875,0.323669437485075,-0.0285714285714286,-0.161904761904762
"3meigorini4",1329.40746773,59,24,5.73157898875,5.94581082583,0.667054427721,40,40,119,129,0.114175777176573,0.105808653688964,0.0474663343318337,0.0154841932227753
"404-",1418.91156955,47,22,5.38814360887,5.37814888252,0.543593003964,15,15,66,68,0.172250775528964,0.421057451293024,-0.0191389750587738,0.229667700705286
"41235",4251.15603875,171,85,5.55585334894,5.74373097456,0.734229287068,24,24,52,56,0.123188405797101,0.0290911014294056,0.384057971014493,0.429093746083733
"46561819k",1636.35641248,79,30,4.85682254735,4.79094534747,1.0725401892,39,43,40,82,0.148950882743096,0.20981627444712,-0.0365359930713522,-0.0190613318378212
"4815seb2342",2904.5011194,145,64,5.0840303801,5.08330470234,0.751306630407,54,55,145,164,0.0538838876241114,0.152713141101827,0.119664217970429,0.0387060956709699
"4lB3R70",1886.1462954,103,41,5.6414286054,5.83734210205,0.669876755755,20,20,78,81,-0.0631578947368421,0.131926580596105,0.231578947368421,0.374671488892938
"5h2",1752.70120548,83,28,4.75648260549,4.93938445065,1.09879540968,16,16,133,157,-0.0672268907563025,-0.109705617921863,-0.158997207663587,-0.0168073161363204
"690min",3983.19725508,164,72,5.20762465514,5.32267178751,0.927067447778,34,34,145,158,0.105169340463458,0.139661202249738,0.0802139037433155,0.028648451743536
"6seven",952.515223347,56,19,5.68557056079,5.77173442539,0.533527213775,21,21,39,40,-0.300716846900152,-0.238267414949422,0.205251181217564,0.0523026032815805
"6WaysTilSunday",1595.12623186,47,27,4.80868565773,4.83585211734,0.709695307032,29,29,171,182,-0.0419235830417449,0.0321386634974628,-0.0517879555221554,-0.12113803933659
"6yk",2134.81323029,92,41,4.75300891167,4.90634581821,0.910882163331,78,79,191,230,0.157666701703715,0.18950640604745,0.306615670500968,0.256643183843659
"730n4rd0",1863.70217251,79,34,5.04778060601,5.07525855251,0.976868672171,14,14,150,159,0.164835164835165,-0.110498924021966,0.208791208791209,-0.0220997848043932
"76ross",4064.50273338,155,72,5.32732014886,5.49314424179,0.880562299496,44,44,284,297,0.0477966160523401,-0.0834282336730248,-0.14338984815702,-0.288790039637394
"777egray",1211.52837959,38,23,5.93474802469,5.99102143783,0.376783038018,55,55,94,98,0.147673634524612,0.112761750356464,0.196091688725496,0.262483668701758
"81599517",3144.8944818,146,59,5.41402642016,5.60587259868,0.79991788846,29,29,178,213,0.0419235830417449,-0.0301568465227055,-0.00246609312010264,0.035182987609823
"870418",972.199003239,67,19,5.03156793486,4.99903750342,0.760802225385,24,24,75,94,0.0434782608695652,0.224846875206644,-0.101449275362319,-0.142403020964208
