state,name,FIPS,pop2010,pop2000,age_under_5,age_under_18,age_over_65,female,white,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,veterans,mean_work_travel,housing_units,home_ownership,housing_multi_unit,median_val_owner_occupied,households,persons_per_household,per_capita_income,median_household_income,poverty,private_nonfarm_establishments,private_nonfarm_employment,percent_change_private_nonfarm_employment,nonemployment_establishments,firms,black_owned_firms,native_owned_firms,asian_owned_firms,pac_isl_owned_firms,hispanic_owned_firms,women_owned_firms,manufacturer_shipments_2007,mercent_whole_sales_2007,sales,sales_per_capita,accommodation_food_service,building_permits,fed_spending,area,density
Alabama,Autauga County,1001.0,54571.0,43671.0,6.6,26.8,12.0,51.3,78.5,17.7,0.4,0.9,NA,1.6,2.4,77.2,86.3,2.0,3.7,85.3,21.7,5817.0,25.1,22135.0,77.5,7.2,133900.0,19718.0,2.7,24568.0,53255.0,10.6,877.0,10628.0,16.6,2971.0,4067.0,15.2,NA,1.3,NA,0.7,31.7,NA,NA,598175.0,12003.0,88157.0,191.0,331142.0,594.44,91.8
Alabama,Baldwin County,1003.0,182265.0,140415.0,6.1,23.0,16.8,51.1,85.7,9.4,0.7,0.7,NA,1.5,4.4,83.5,83.0,3.6,5.5,87.6,26.8,20396.0,25.8,104061.0,76.7,22.6,177200.0,69476.0,2.5,26469.0,50147.0,12.2,4812.0,52233.0,17.4,14175.0,19035.0,2.7,0.4,1.0,NA,1.3,27.3,1410273.0,NA,2966489.0,17166.0,436955.0,696.0,1119082.0,1589.78,114.6
Alabama,Barbour County,1005.0,27457.0,29038.0,6.2,21.9,14.2,46.9,48.0,46.9,0.4,0.4,NA,0.9,5.1,46.8,83.0,2.8,4.7,71.9,13.5,2327.0,23.8,11829.0,68.0,11.1,88200.0,9795.0,2.52,15875.0,33219.0,25.0,522.0,7990.0,-27.0,1527.0,1667.0,NA,NA,NA,NA,NA,27.0,NA,NA,188337.0,6334.0,NA,10.0,240308.0,884.88,31.0
Alabama,Bibb County,1007.0,22915.0,20826.0,6.0,22.7,12.7,46.3,75.8,22.0,0.3,0.1,NA,0.9,1.8,75.0,90.5,0.7,1.5,74.5,10.0,1883.0,28.3,8981.0,82.9,6.6,81200.0,7441.0,3.02,19918.0,41770.0,12.6,318.0,2927.0,-14.0,1192.0,1385.0,14.9,NA,NA,NA,NA,NA,0.0,NA,124707.0,5804.0,10757.0,8.0,163201.0,622.58,36.8
Alabama,Blount County,1009.0,57322.0,51024.0,6.3,24.6,14.7,50.5,92.6,1.3,0.5,0.2,NA,1.2,8.1,88.9,87.2,4.7,7.2,74.7,12.5,4072.0,33.2,23887.0,82.0,3.7,113700.0,20605.0,2.73,21070.0,45549.0,13.4,749.0,6968.0,-11.4,3501.0,4458.0,NA,NA,NA,NA,NA,23.2,341544.0,NA,319700.0,5622.0,20941.0,18.0,294114.0,644.78,88.9
Alabama,Bullock County,1011.0,10914.0,11714.0,6.8,22.3,13.5,45.8,23.0,70.2,0.2,0.2,NA,0.8,7.1,21.9,88.5,1.1,3.8,74.7,12.0,943.0,28.1,4493.0,76.9,9.9,66300.0,3732.0,2.85,20289.0,31602.0,25.3,120.0,1919.0,-18.5,390.0,417.0,NA,NA,NA,NA,NA,38.8,NA,NA,43810.0,3995.0,3670.0,1.0,108846.0,622.81,17.5
Alabama,Butler County,1013.0,20947.0,21399.0,6.5,24.1,16.7,53.0,54.4,43.4,0.3,0.8,0.0,0.8,0.9,54.1,92.8,1.1,1.6,74.8,11.0,1675.0,25.1,9964.0,69.0,13.7,70200.0,8019.0,2.58,16916.0,30659.0,25.0,446.0,5400.0,2.1,1180.0,1769.0,NA,NA,3.3,NA,NA,NA,399132.0,56712.0,229277.0,11326.0,28427.0,3.0,195055.0,776.83,27.0
Alabama,Calhoun County,1015.0,118572.0,112249.0,6.1,22.9,14.3,51.8,74.9,20.6,0.5,0.7,0.1,1.7,3.3,73.6,82.9,2.5,4.5,78.5,16.1,11757.0,22.1,53289.0,70.7,14.3,98200.0,46421.0,2.46,20574.0,38407.0,19.5,2444.0,38324.0,-5.6,6329.0,8713.0,7.2,NA,1.6,NA,0.5,24.7,2679991.0,NA,1542981.0,13678.0,186533.0,107.0,1830659.0,605.87,195.7
Alabama,Chambers County,1017.0,34215.0,36583.0,5.7,22.5,16.7,52.2,58.8,38.7,0.2,0.5,0.0,1.1,1.6,58.1,86.2,0.9,1.6,71.8,10.8,2893.0,23.6,17004.0,71.4,8.7,82200.0,13681.0,2.51,16626.0,31467.0,20.3,568.0,6241.0,-45.8,2074.0,1981.0,NA,NA,NA,NA,NA,29.3,667283.0,NA,264650.0,7620.0,23237.0,10.0,294718.0,596.53,57.4
Alabama,Cherokee County,1019.0,25989.0,23988.0,5.3,21.4,17.9,50.4,92.7,4.6,0.5,0.2,0.0,1.5,1.2,92.1,88.1,0.5,1.4,73.4,10.5,2172.0,26.2,16267.0,77.5,4.3,97100.0,11352.0,2.22,21322.0,40690.0,17.6,350.0,3600.0,5.4,1627.0,2180.0,NA,NA,NA,NA,NA,14.5,307439.0,62293.0,186321.0,7613.0,13948.0,6.0,184642.0,553.7,46.9
