iid,gender,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping
1,0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8
2,0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3
3,0,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8
4,0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1
5,0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8
6,0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1
7,0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10
8,0,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8
9,0,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8
10,0,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7
11,1,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5
12,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5
13,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8
14,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6
15,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2
16,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6
17,1,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2
18,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2
19,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7
20,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5
21,0,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5
22,0,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8
23,0,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10
24,0,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6
25,0,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8
26,0,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5
27,0,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7
28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9
30,0,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6
31,0,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10
32,0,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10
33,0,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7
34,0,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7
35,0,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8
36,0,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5
37,0,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4
38,0,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10
39,0,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10
40,1,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4
41,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5
42,1,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2
43,1,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2
44,1,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6
45,1,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6
46,1,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2
47,1,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2
48,1,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6
49,1,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2
50,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6
51,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2
52,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4
53,1,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7
54,1,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1
55,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5
56,0,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10
