iid,gender,order,pid,int_corr,samerace,age_o,age,field,race,from,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,like,prob,match_es,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,dec
1,0,4,11,0.14,0,27,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,NA,NA,NA,NA,NA,yes
1,0,3,12,0.54,0,22,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,4.0,NA,NA,NA,NA,NA,yes
1,0,10,13,0.16,1,22,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,NA,4.0,NA,NA,NA,NA,NA,yes
1,0,5,14,0.61,0,23,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,4.0,NA,NA,NA,NA,NA,yes
1,0,7,15,0.21,0,24,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,NA,NA,NA,NA,NA,yes
1,0,6,16,0.25,0,25,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,NA,NA,NA,NA,NA,no
1,0,1,17,0.34,0,30,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,4.0,NA,NA,NA,NA,NA,yes
1,0,2,18,0.5,0,27,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,4.0,NA,NA,NA,NA,NA,no
1,0,8,19,0.28,0,28,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,4.0,NA,NA,NA,NA,NA,yes
1,0,9,20,-0.36,0,24,21,Law,4,Chicago,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,4.0,NA,NA,NA,NA,NA,yes
