#,"Você é...","Você já cursou, está cursando ou não cursou Métodos Estatísticos?","Em quantos repositórios no github (seus ou de outras pessoas) você contribuiu nos últimos 2 anos?","Em quantas linguagens de programação você sabe programar?","Qual seu nível de confiança hoje no que você sabe sobre o que é desvio padrão?","Em quantos projetos de desenvolvimento ou pesquisa você já participou na UFCG?","Qual a sua altura em centímetros?","Qual seu peso aproximado em kg?","Quanto tempo você demora para se deslocar de casa à UFCG? (em minutos)","Você geralmente vai de casa para a UFCG:","O quanto você gosta de formulários online? (Obrigado por ter respondido este!)","Start Date (UTC)","Submit Date (UTC)","Network ID"
7be93a16704ab173504f0873bc774245,Homem,"Já cursei",3,5,7,1,0,73,73,,1,"2016-06-30 22:46:14","2016-06-30 22:48:32",631e9092f1
f8d102fff84080ec99da0953c9f5cf2a,Mulher,"Estou cursando",9,3,7,3,154,46,20,"de carro/moto",3,"2016-06-30 23:12:57","2016-06-30 23:19:29",632f28271d
437aaf7a207b3237236abb18760bd4bc,Homem,"Estou cursando",2,3,3,3,0,92,10,"de carro/moto",5,"2016-06-30 23:20:29","2016-06-30 23:27:25",7acadd86fa
f3a3c5fd14fda233e842919af05317e7,Homem,"Estou cursando",2,2,7,1,181,62,10,"a pé",4,"2016-06-30 23:45:08","2016-06-30 23:56:29",9e5c0e6757
12376426c18614eec592a4fe39f4ab52,Homem,"Já cursei",10,5,8,1,186,100,19,"de carro/moto",4,"2016-06-30 23:59:04","2016-07-01 00:03:02",82e7247fde
27986a2b874e8a0b4d7a1948feb0866b,Homem,"Não cursei e não estou cursando",5,4,10,3,182,76,30,"de ônibus",5,"2016-07-01 00:05:32","2016-07-01 00:06:45",b943c94358
c26c56713add54d8afa5bb6d9282b079,Homem,"Já cursei",20,3,7,1,184,58,60,"de ônibus",4,"2016-06-30 23:02:21","2016-07-01 00:45:01",e43c31a964
b0ab89f03299344f57ffb00eca7e9065,Homem,"Já cursei",10,5,10,2,167,61,25,"de ônibus",5,"2016-07-01 00:45:20","2016-07-01 00:47:54",e0f2320577
09d6cda1de4c7108a09e02f253e37fc1,Homem,"Já cursei",4,8,4,2,182,100,15,"a pé",3,"2016-07-01 01:03:04","2016-07-01 01:04:42",ec9cb332d2
8b1057de862380a09d7ec4876c5f20af,Homem,"Estou cursando",4,3,7,0,160,67,90,"de ônibus",3,"2016-07-01 01:36:41","2016-07-01 01:38:56",31ff3a7c16
76da293ca43cc06e365159e00f2524b2,Homem,"Estou cursando",5,4,0,1,183,82,7,"a pé",2,"2016-07-01 01:54:43","2016-07-01 02:01:37",49c8bb667e
44e707d8b31d3489c10c2fddb0a85d77,Homem,"Já cursei",6,4,9,3,183,64,20,"de carro/moto",2,"2016-07-01 02:04:23","2016-07-01 02:18:41",d2852b5609
1557ca5b9527fce11a535726b34603e8,Mulher,"Estou cursando",1,3,5,3,155,50,20,"de carro/moto",4,"2016-07-01 04:39:45","2016-07-01 04:41:14",fd952d8614
252544901daee22ad812f0440caf38dc,Homem,"Estou cursando",4,6,8,0,175,65,50,"de ônibus",3,"2016-07-01 07:55:22","2016-07-01 08:05:20",3909bec6d2
9712d7fe8571a1ebced1cce1f8341145,Homem,"Já cursei",15,5,7,3,179,75,20,"de ônibus",5,"2016-07-01 09:59:22","2016-07-01 10:05:00",4bcf821db6
d6e9719e32e685d922512b79fe52dad8,Homem,"Já cursei",5,2,5,1,165,72,30,"de ônibus",4,"2016-07-01 12:34:38","2016-07-01 12:36:14",6406fac877
6972c355a264282628705f977f380e56,Homem,"Já cursei",23,7,8,2,170,68,2,"de carro/moto",1,"2016-07-01 13:00:13","2016-07-01 13:06:41",b4bc664050
e6091cc9209c7502835f93f6bee2f755,Homem,"Estou cursando",3,2,7,2,178,56,15,"de carro/moto",5,"2016-07-01 14:13:25","2016-07-01 14:15:53",2cbfb710bb
d2f7f29dd0fa80ac8c8a42649d33c6f6,Homem,"Já cursei",1,3,7,2,163,57,10,"de carro/moto",5,"2016-07-01 17:11:57","2016-07-01 17:13:07",e452fc7119
bb1db65244d799a4b61e59fbf3f4eb4b,Homem,"Estou cursando",3,3,8,1,175,66,10,"de carro/moto",5,"2016-07-01 17:12:44","2016-07-01 17:14:32",691ad15203
