"PERIODO_EVASAO","GENERO","tipo_saida","saida","nota","ano","periodo"
"","F","outro",94,655.833333333333,"",""
"","M","outro",500,613.5,"",""
"1987.1","M","graduado",1,709,"1987","1"
"1987.2","F","graduado",1,818,"1987","2"
"1990.2","F","graduado",1,471,"1990","2"
"1991.2","F","graduado",1,635,"1991","2"
"1995.1","F","graduado",1,565,"1995","1"
"1995.1","M","outro",1,717,"1995","1"
"1997.2","M","graduado",2,612,"1997","2"
"1998.1","M","graduado",1,632,"1998","1"
"1998.1","M","outro",1,626,"1998","1"
"1998.2","F","graduado",1,617,"1998","2"
"1998.2","M","graduado",2,636.5,"1998","2"
"1999.1","F","graduado",1,606,"1999","1"
"1999.1","M","graduado",1,556,"1999","1"
"1999.2","F","graduado",1,561,"1999","2"
"2000.1","M","graduado",2,583,"2000","1"
"2000.2","F","graduado",1,623,"2000","2"
"2000.2","M","graduado",1,718,"2000","2"
"2000.2","M","outro",1,625,"2000","2"
"2001.1","F","outro",1,579,"2001","1"
"2001.1","M","graduado",3,644,"2001","1"
"2001.2","F","graduado",1,589,"2001","2"
"2001.2","F","outro",1,624,"2001","2"
"2001.2","M","graduado",1,603,"2001","2"
"2001.2","M","outro",1,618,"2001","2"
"2002.1","M","graduado",1,610,"2002","1"
"2002.1","M","outro",5,625.75,"2002","1"
"2002.2","F","graduado",1,645,"2002","2"
"2002.2","M","graduado",3,638.333333333333,"2002","2"
"2002.2","M","outro",3,601.333333333333,"2002","2"
"2003.1","M","graduado",3,610.333333333333,"2003","1"
"2003.1","M","outro",4,623.5,"2003","1"
"2003.2","M","graduado",5,631.2,"2003","2"
"2003.2","M","outro",3,650,"2003","2"
"2004.1","F","graduado",1,578,"2004","1"
"2004.1","F","outro",1,608,"2004","1"
"2004.1","M","graduado",6,599.6,"2004","1"
"2004.1","M","outro",7,612.4,"2004","1"
"2004.2","F","graduado",2,579.5,"2004","2"
"2004.2","M","graduado",4,636.666666666667,"2004","2"
"2004.2","M","outro",7,628.8,"2004","2"
"2005.1","F","graduado",2,636,"2005","1"
"2005.1","F","outro",2,606,"2005","1"
"2005.1","M","graduado",8,636.375,"2005","1"
"2005.1","M","outro",6,600,"2005","1"
"2005.2","F","graduado",1,623,"2005","2"
"2005.2","F","outro",2,NA,"2005","2"
"2005.2","M","graduado",8,610.833333333333,"2005","2"
"2005.2","M","outro",14,627.857142857143,"2005","2"
"2006.1","F","graduado",3,626.5,"2006","1"
"2006.1","F","outro",1,0,"2006","1"
"2006.1","M","graduado",15,613,"2006","1"
"2006.1","M","outro",11,450.75,"2006","1"
"2006.2","F","graduado",1,NA,"2006","2"
"2006.2","F","outro",3,589.5,"2006","2"
"2006.2","M","graduado",11,596.666666666667,"2006","2"
"2006.2","M","outro",15,471.222222222222,"2006","2"
