"","NR_CONVENIO","ANO_CONVENIO","TX_SUBSITUACAO","NM_ORGAO_SUPERIOR","NM_MUNICIPIO_PROPONENTE","NM_PROGRAMA","DT_INICIO_VIGENCIA","DT_FIM_VIGENCIA","VL_GLOBAL","VL_REPASSE","TX_OBJETO_CONVENIO","IN_ADITIVO_SN","QT_ADITIVOS","cod7","funcao.imputada","TX_STATUS"
"1",782531,2013,"Em Aditivação","Ministerio das Cidades","RIACHO DOS CAVALOS","Planejamento Urbano","17/06/2013","30/05/2016",605761.43,592000,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Riacho dos Cavalos - pb.",1,3,2512804,"Urbanismo","Concluída, segundo a prefeitura"
"2",782543,2013,"Em Aditivação","Ministerio das Cidades","GURINHEM","Planejamento Urbano","25/06/2013","29/12/2015",740350,740350,"Pavimentação e Drenagem em Diversas Ruas no Município de Gurinhém",1,2,2506400,"Urbanismo","Concluída, segundo a prefeitura"
"3",799347,2013,"Convênio","Ministerio do Turismo","SOLEDADE","Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Cr?ditos Adicionais","31/12/2013","30/12/2015",994900,975000,"Apoio a Projetos de Infraestrutura Turística - Reforma do Mercado Público.",1,2,2516102,"Comércio e Serviços","Concluída, segundo a prefeitura"
"4",782573,2013,"Convênio","Ministerio das Cidades","LIVRAMENTO","Planejamento Urbano","23/12/2013","31/07/2015",394200,394200,"Elaboração de Projeto Executivo e Pavimentação de Diversas Ruas",0,NA,2508505,"Urbanismo","Concluída, segundo a prefeitura"
"5",795757,2013,"Convênio","Ministerio da Cultura","AREIA","Promoção e Fomento à Cultura Brasileira - pb","18/12/2013","17/12/2014",273860.32,273860.32,"Realização do Evento Literário Letras e Luzes na Serra: Festa Literária de Areia, no Município de Areia na Paraíba",0,NA,2501104,"Cultura","Concluída, segundo a prefeitura"
"6",798427,2013,"Convênio","Ministerio da Saude","CRUZ DO ESPIRITO SANTO","2068 - Saneamento Básico (10gd - Sistema de Abastecimento de Água)","31/12/2013","31/12/2015",306200,3e+05,"Sistema de Abastecimento de Água.",0,NA,2504900,"Saúde","Concluída, segundo a prefeitura"
"7",808265,2014,"Convênio","Ministerio do Turismo","BORBOREMA","Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas Parlamentares","29/07/2014","31/03/2016",298500,292500,"Construção da 2ª Etapa do Clube Municipal Ilha da Fantasia e Construção da Praça Leonardo Macêdo da Fonseca",0,NA,2502706,"Comércio e Serviços","Concluída, segundo a prefeitura"
"8",782537,2013,"Em Ajustes pelo Concedente","Ministerio das Cidades","SAO JOAO DO RIO DO PEIXE","Planejamento Urbano","17/06/2013","30/05/2016",493100,493100,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de são João do rio do Peixe - pb.",1,1,2500700,"Urbanismo","Concluída, segundo a prefeitura"
"9",794563,2013,"Convênio","Ministerio do Desenv. Social e Combate a Fome","MARI","Estrutura¿¿o da Rede de Servi¿os da Prote¿¿o Social Especial ? Constru¿¿o de Creas (portaria n¿ 127/2013)","26/12/2013","31/12/2015",459200,450000,"Estruturação da Rede de Serviços de Proteção Social Especial ¿ Construção de Creas",1,1,2509107,"Assistência Social","Concluída, segundo a prefeitura"
"10",804051,2014,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","LASTRO","Fomento ao Setor Agropecu?rio -  Medida Provis?ria 637 - Investimento","29/07/2014","30/05/2016",576225,570375,"Aquisição de Máquinas e Equipamentos",1,1,2508406,"Agricultura","Concluída, segundo a prefeitura"
