numero,data,nome,cnpj_ou_cpf,licitacao,num_licitacao,modalidade_licitacao,órgão,unidade_orçamentaria,funcao_orcamentaria,subfuncao_orcamentaria,programa,acao,natureza_despesa,fonte_do_recurso,valor_empenhado,valor_liquidado,valor_pago,valor_anulado,valor_saldo
1,2016-01-08,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,2 - Amortização e encargos da dívida pública,469077,0 - Recursos Ordinários,258453.35,258453.35,258453.35,NA,0.0
2,2016-01-13,SINDICATO DAS EMPRESAS DE TRANSPORTE DE PASSAGEIROS DE C.GRANDE,09.244.401/0001-61,SIM,202022015,7-Inexigibilidade,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,"2022 - Encargos sociais (IPSEM, INSS, vale transporte)",339039,0 - Recursos Ordinários,69910.21,69910.21,69910.21,NA,0.0
3,2016-01-13,SINDICATO DAS EMPRESAS DE TRANSPORTE DE PASSAGEIROS DE C.GRANDE,09.244.401/0001-61,SIM,206032015,7-Inexigibilidade,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,37074.91,37074.91,37074.91,NA,0.0
4,2016-01-12,CAIXA ECONOMICA FEDERAL - CEF,00.360.305/0001-04,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,60.0,60.0,60.0,NA,0.0
5,2016-01-13,IOLANDA BARBOSA DA SILVA,***.628.284-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339014,0 - Recursos Ordinários,2169.6,2169.6,2169.6,NA,0.0
6,2016-01-13,PR-IMPRENSA  NACIONAL,04.196.645/0001-00,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,7136.95,7136.95,7136.95,NA,0.0
7,2016-01-14,BANCO BRADESCO S/A,60.746.948/3853-16,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,2196.0,2196.0,2196.0,NA,0.0
8,2016-01-14,SITRANS DE CAMPINA GRANDE,09.244.401/0001-61,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2049 - Recursos FUNDEB Outras despesas,339039,19 - Transferência do FUNDEB (outras),7932.87,7932.87,7932.87,NA,0.0
9,2016-01-15,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,50.0,50.0,50.0,NA,0.0
10,2016-01-19,BANCO BRADESCO S/A,60.746.948/3853-16,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,810.0,810.0,810.0,NA,0.0
11,2016-01-20,SOLO ENGENHARIA E EMPREENDIMENTOS LTDA E EPP.,04.561.688/0001-30,SIM,000022012,2-Tomada de Preço,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1015 - Infraestrutura da rede municipal de educação,1009 - Construção e cobertura de quadras,449051,0 - Recursos Ordinários,47365.88,47365.88,47365.88,NA,0.0
12,2016-01-22,CONSTRUTORA PLANÍCIE LTDA,07.861.146/0001-70,SIM,000022012,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,0 - Recursos Ordinários,198727.04,198727.04,198727.04,NA,0.0
13,2016-01-25,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2026 - Programa Formação Patrimônio Servidor Público PASEP,339047,0 - Recursos Ordinários,23145.36,23145.36,23145.36,NA,0.0
14,2016-01-25,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,2 - Amortização e encargos da dívida pública,329021,0 - Recursos Ordinários,13618.09,13618.09,13618.09,NA,0.0
15,2016-01-21,TELEMAR NORTE LESTE S/A,33.000.118/0001-79,SIM,203132013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339092,0 - Recursos Ordinários,139.1,139.1,139.1,NA,0.0
16,2016-01-26,IPSEM-INSTITUTO DE PREVIDÊNCIA DO SERVIDOR MUNICIPAL,41.134.826/0001-20,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,2 - Amortização e encargos da dívida pública,469177,0 - Recursos Ordinários,1177067.74,1177067.74,1177067.74,NA,0.0
17,2016-01-20,SECOP - SISTEMA COMPUTADORIZADO DE CONTABILIDADE PÚBLICA E FINANÇAS LTDA,00.171.424/0001-19,SIM,214082014,7-Inexigibilidade,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,24e3,16e3,16e3,NA,0.0
