NOME_PARLAMENTAR,Agricultura,Assistência Social,Ciência e Tecnologia,Comércio e Serviços,Cultura,Defesa Nacional,Desporto e Lazer,Direitos da Cidadania,Gestão Ambiental,Indústria,Organização Agrária,Outros,Saneamento,Saúde,Segurança Pública,Trabalho,Urbanismo
ABEL SALVADOR MESQUITA JUNIOR,0,0,0,0,0,3000,0,0,0,0,0,3929,0,0,0,0,0
ABELARDO CAMARINHA,0,11665.61,234296.3,0,0,0,0,0,234296.3,234296.3,0,0,1274496.28,0,0,0,1508792.58
ABELARDO LUPION,0,206073.89,0,12500,12500,0,0,0,0,0,184792.62,0,132487.12,0,0,0,132487.12
ABERLADO CAMARINHA,0,0,0,0,0,0,0,0,0,0,0,0,70769.45,0,0,0,70769.45
ACELINO POPO,0,925698.77,0,44556.25,44556.25,0,252265.23,0,0,0,925698.77,0,1546956.55,0,0,0,1546956.55
ACIR GURGACZ,0,88947,0,0,0,920420.5,0,0,0,0,88947,0,0,1200.53,0,0,0
ADALBERTO CAVALCANTI,0,0,0,13000,13000,0,30250,0,0,0,0,0,0,0,0,0,0
ADELSON BARRETO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEMIR CAMILO,0,7000,0,31824.19,31824.19,0,256720.51,0,0,0,0,0,598573.47,1050,0,0,598573.47
ADILTON SACHETTI,0,0,0,0,0,0,6250,0,0,0,0,231944.88,47180.15,0,0,0,47180.15
ADRIAN,32400,0,0,231270,231270,0,10000,0,0,0,0,62000,160773,0,0,0,160773
AECIO NEVES,0,0,0,0,0,0,0,0,0,0,0,0,103507.73,6000,0,0,103507.73
AELTON FREITAS,494527.77,25871.25,0,32461.71,32461.71,0,148731.53,0,0,0,0,1e+05,636917.65,22129.98,0,0,636917.65
AFONSO FLORENCE,0,132754,0,0,10860,0,32596.8,0,0,0,132754,30870,297757.54,42400.4,0,0,297757.54
AFONSO HAMM,1439735.29,3500,0,79539.24,79539.24,0,26100,0,0,0,0,0,1717437.34,4120,0,0,1717437.34
AFONSO MOTTA,19250,0,0,0,5000,0,17500,0,0,0,0,0,90578.4,10000,0,0,90578.4
